name,datetime,order_type,volume,min_price,max_price,range,median,avg_price,mod_rank,item_id
aeolak_barrel,2023-08-01T00:00:00.000+00:00,closed,10,15.0,20.0,5.0,20.0,17.5,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-27T00:00:00.000+00:00,sell,210,18.0,22.0,4.0,20.0,20.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-27T00:00:00.000+00:00,buy,24,5.0,15.0,10.0,10.0,10.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-27T00:00:00.000+00:00,closed,9,18.0,20.0,2.0,18.5,19.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-29T00:00:00.000+00:00,sell,173,18.0,22.0,4.0,20.0,20.0,,626ca573f40db600829c9d0d
aeolak_barrel,2023-07-30T00:00:00.000+00:00,sell,141,18.0,22.0,4.0,20.0,20.0,,626ca573f40db600829c9d0d
aeolak_receiver,2023-07-30T00:00:00.000+00:00,buy,26,15.0,31.0,16.0,23.0,23.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-26T00:00:00.000+00:00,buy,22,7.0,30.0,23.0,20.0,18.5,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-26T00:00:00.000+00:00,closed,11,30.0,50.0,20.0,40.0,40.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-30T00:00:00.000+00:00,closed,8,40.0,45.0,5.0,41.0,42.5,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-28T00:00:00.000+00:00,closed,11,32.0,45.0,13.0,35.0,38.5,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-28T00:00:00.000+00:00,buy,25,7.0,35.0,28.0,25.0,21.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-08-01T00:00:00.000+00:00,buy,40,15.0,35.0,20.0,27.0,25.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-28T00:00:00.000+00:00,sell,65,30.0,60.0,30.0,45.0,45.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-29T00:00:00.000+00:00,closed,11,30.0,50.0,20.0,39.0,40.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-31T00:00:00.000+00:00,sell,58,38.0,75.0,37.0,45.0,56.5,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-31T00:00:00.000+00:00,buy,33,15.0,35.0,20.0,25.0,25.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-31T00:00:00.000+00:00,closed,13,30.0,50.0,20.0,41.5,40.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-08-01T00:00:00.000+00:00,sell,66,30.0,65.0,35.0,45.0,47.5,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-27T00:00:00.000+00:00,buy,20,15.0,30.0,15.0,21.0,22.5,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-27T00:00:00.000+00:00,sell,60,30.0,60.0,30.0,45.0,45.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-26T00:00:00.000+00:00,sell,60,38.0,75.0,37.0,45.0,56.5,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-29T00:00:00.000+00:00,buy,21,15.0,30.0,15.0,25.0,22.5,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-29T00:00:00.000+00:00,sell,69,32.0,55.0,23.0,44.0,43.5,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-30T00:00:00.000+00:00,sell,62,25.0,75.0,50.0,45.0,50.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-08-01T00:00:00.000+00:00,closed,5,40.0,48.0,8.0,40.0,44.0,,626ca573f40db600829c9d0a
aeolak_receiver,2023-07-27T00:00:00.000+00:00,closed,7,35.0,44.0,9.0,39.0,39.5,,626ca573f40db600829c9d0a
aeolak_stock,2023-07-28T00:00:00.000+00:00,buy,93,10.0,30.0,20.0,23.5,20.0,,626ca573f40db600829c9d11
aeolak_stock,2023-07-28T00:00:00.000+00:00,closed,14,35.0,45.0,10.0,39.0,40.0,,626ca573f40db600829c9d11
aeolak_stock,2023-07-27T00:00:00.000+00:00,sell,94,39.0,60.0,21.0,45.0,49.5,,626ca573f40db600829c9d11
aeolak_stock,2023-07-27T00:00:00.000+00:00,buy,96,15.0,35.0,20.0,25.0,25.0,,626ca573f40db600829c9d11
aeolak_stock,2023-07-27T00:00:00.000+00:00,closed,9,39.0,45.0,6.0,42.0,42.0,,626ca573f40db600829c9d11
aeolak_stock,2023-07-26T00:00:00.000+00:00,buy,92,7.0,30.0,23.0,20.0,18.5,,626ca573f40db600829c9d11
aeolak_stock,2023-07-26T00:00:00.000+00:00,closed,8,30.0,49.0,19.0,40.0,39.5,,626ca573f40db600829c9d11
aeolak_stock,2023-07-28T00:00:00.000+00:00,sell,96,35.0,60.0,25.0,47.0,47.5,,626ca573f40db600829c9d11
aeolak_stock,2023-07-29T00:00:00.000+00:00,closed,15,30.0,49.0,19.0,40.0,39.5,,626ca573f40db600829c9d11
aeolak_stock,2023-07-29T00:00:00.000+00:00,sell,97,34.0,69.0,35.0,45.0,51.5,,626ca573f40db600829c9d11
aeolak_stock,2023-08-01T00:00:00.000+00:00,buy,111,15.0,35.0,20.0,25.0,25.0,,626ca573f40db600829c9d11
aeolak_stock,2023-07-31T00:00:00.000+00:00,buy,100,15.0,30.0,15.0,25.0,22.5,,626ca573f40db600829c9d11
aeolak_stock,2023-08-01T00:00:00.000+00:00,sell,87,34.0,74.0,40.0,45.0,54.0,,626ca573f40db600829c9d11
aeolak_stock,2023-07-31T00:00:00.000+00:00,sell,93,30.0,65.0,35.0,45.0,47.5,,626ca573f40db600829c9d11
aeolak_stock,2023-07-30T00:00:00.000+00:00,sell,94,35.0,58.0,23.0,45.0,46.5,,626ca573f40db600829c9d11
aeolak_stock,2023-08-01T00:00:00.000+00:00,closed,8,30.0,50.0,20.0,40.0,40.0,,626ca573f40db600829c9d11
