name,datetime,order_type,volume,min_price,max_price,avg_price,mod_rank,median,item_id,range
afuris_prime_set,2023-08-22T00:00:00.000+00:00,buy,47,22.0,41.0,31.5,,33.0,639a941c74b02f008887784c,19.0
afuris_prime_set,2023-08-22T00:00:00.000+00:00,sell,255,48.0,73.0,60.5,,60.0,639a941c74b02f008887784c,25.0
afuris_prime_set,2023-08-21T00:00:00.000+00:00,closed,18,50.0,60.0,55.0,,55.0,639a941c74b02f008887784c,10.0
afuris_prime_set,2023-08-21T00:00:00.000+00:00,buy,54,25.0,40.0,32.5,,32.0,639a941c74b02f008887784c,15.0
afuris_prime_set,2023-08-21T00:00:00.000+00:00,sell,262,48.0,73.0,60.5,,60.0,639a941c74b02f008887784c,25.0
afuris_prime_set,2023-08-17T00:00:00.000+00:00,closed,22,46.0,120.0,83.0,,55.0,639a941c74b02f008887784c,74.0
afuris_prime_set,2023-08-17T00:00:00.000+00:00,buy,1047,22.0,48.0,35.0,,35.5,639a941c74b02f008887784c,26.0
afuris_prime_set,2023-08-17T00:00:00.000+00:00,sell,200,50.0,73.0,61.5,,60.0,639a941c74b02f008887784c,23.0
afuris_prime_set,2023-08-16T00:00:00.000+00:00,closed,27,49.0,60.0,54.5,,55.0,639a941c74b02f008887784c,11.0
afuris_prime_set,2023-08-16T00:00:00.000+00:00,buy,174,20.0,50.0,35.0,,35.0,639a941c74b02f008887784c,30.0
afuris_prime_set,2023-08-16T00:00:00.000+00:00,sell,193,50.0,73.0,61.5,,60.0,639a941c74b02f008887784c,23.0
afuris_prime_set,2023-08-15T00:00:00.000+00:00,closed,13,54.0,55.0,54.5,,55.0,639a941c74b02f008887784c,1.0
afuris_prime_set,2023-08-15T00:00:00.000+00:00,buy,41,25.0,48.0,36.5,,35.0,639a941c74b02f008887784c,23.0
afuris_prime_set,2023-08-15T00:00:00.000+00:00,sell,195,50.0,73.0,61.5,,60.0,639a941c74b02f008887784c,23.0
